index,symbol,companyName,floor,industryName
47,CPC,Công ty Cổ phần Thuốc sát trùng Cần Thơ,HNX,Hóa chất đặc biệt
48,CSC,Công ty cổ phần Tập đoàn COTANA,HNX,Đầu tư và phát triển bất động sản
49,CTB,Công ty Cổ phần Chế tạo Bơm Hải Dương ,HNX,Máy công nghiệp
50,CTC,CÔNG TY CỔ PHẦN TẬP ĐOÀN HOÀNG KIM TÂY NGUYÊN,HNX,Cửa hàng chuyên dụng
51,CTP,CÔNG TY CỔ PHẦN MINH KHANG CAPITAL TRADING PUBLIC,HNX,Nông sản và thủy hải sản
52,CTT,Công ty Cổ phần chế tạo máy - VINACOMIN,HNX,Máy công nghiệp
53,CTX,Tổng Công ty Cổ phần Đầu tư xây dựng và Thương mại Việt Nam,HNX,Vật liệu xây dựng
54,CVN,CÔNG TY CỔ PHẦN VINAM,HNX,Xây dựng công trình
55,CX8,Công ty Cổ phần Đầu tư và Xây lắp Contrexim số 8 ,HNX,Xây dựng công trình
56,D11,Công ty Cổ phần Địa ốc 11,HNX,Đầu tư và phát triển bất động sản
57,DAD,Công ty Cổ phần Đầu tư và Phát triển giáo dục Đà Nẵng ,HNX,Cửa hàng chuyên dụng
58,DAE,Công ty Cổ phần Sách Giáo Dục tại TP Đà Nẵng,HNX,Hoạt động xuất bản
59,DC2,Công ty Cổ phần Đầu tư phát triển - Xây dựng (DIC) số 2,HNX,Xây dựng công trình
60,DDG,Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,HNX,Thiết bị điện
61,DHP,Công ty Cổ phần Điện Cơ Hải Phòng,HNX,Thiết bị điện
62,DHT,Công ty Cổ phần Dược phẩm Hà Tây ,HNX,Dược phẩm
63,DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,HNX,Đầu tư và phát triển bất động sản
64,DL1,Công ty cổ phần tập đoàn Alpha Seven,HNX,Dịch vụ vận tải
65,DNC,Công ty Cổ phần Điện nước lắp máy Hải Phòng,HNX,Vật liệu xây dựng
66,DNM,Tổng Công ty Cổ phần Y tế Danameco ,HNX,Thiết bị y tế
67,DNP,Công ty Cổ phần Nhựa Đồng Nai ,HNX,Vật liệu xây dựng
68,DP3,Công ty Cổ phần Dược phẩm Trung ương 3,HNX,Dược phẩm
69,DPC,Công ty Cổ phần nhựa Đà Nẵng,HNX,Vật liệu xây dựng
70,DS3,Công ty Cổ phần Quản lý Đường sông số 3,HNX,Dịch vụ vận tải
71,DST,Công ty Cổ phần Đầu tư Sao Thăng Long,HNX,Cửa hàng chuyên dụng
72,DTC,Công ty Cổ phần Viglacera Đông Triều,HNX,Điện
73,DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,HNX,Xây dựng công trình
74,DTK,Tổng công ty Điện lực TKV - CTCP,HNX,Điện
75,DVG,CTCP TẬP ĐOÀN SƠN ĐẠI VIỆT,HNX,Vật liệu xây dựng
76,DXP,Công ty Cổ phần Cảng Đoạn Xá,HNX,Dịch vụ vận tải
77,DZM,Công ty Cổ phần Chế tạo máy Dzĩ An ,HNX,Thiết bị điện
78,EBS,Công ty Cổ phần Sách Giáo Dục tại TP Hà Nội,HNX,Cửa hàng chuyên dụng
79,ECI,Công ty Cổ phần Bản đồ và Tranh ảnh giáo dục,HNX,Hoạt động xuất bản
80,EID,Công ty Cổ phần Đầu tư và Phát triển giáo dục Hà Nội,HNX,Hoạt động xuất bản
81,EVS,Công ty Cổ phần Chứng khoán Everest,HNX,Dịch vụ đầu tư
82,FID,Công ty Cổ phần đầu tư và phát triển doanh nghiệp Việt Nam ,HNX,Bán lẻ dụng cụ gia đình
83,GDW,Công ty Cổ phần Cấp nước Gia Định,HNX,Nước
84,GIC,Công ty Cổ phần Đầu tư dịch vụ và Phát triển Xanh,HNX,Dịch vụ vận tải
85,GKM,Công ty cổ phần Khang Minh Group,HNX,Vật liệu xây dựng
86,GLT,Công ty Cổ phần Kỹ thuật điện toàn cầu,HNX,Thiết bị điện tử
87,GMA,Công ty Cổ phần Enteco Việt Nam,HNX,Vật liệu xây dựng
88,GMX,Công ty Cổ phần Gạch Ngói Gốm Xây dựng Mỹ Xuân,HNX,Vật liệu xây dựng
89,HAD,Công ty Cổ phần Bia Hà Nội - Hải Dương,HNX,Sản xuất bia
90,HAT,Công ty Cổ phần Thương mại Bia Hà Nội ,HNX,Sản xuất bia
91,HBS,Công ty Cổ phần Chứng khoán Hòa Bình,HNX,Dịch vụ đầu tư
92,HCC,Công ty Cổ phần Bê tông Hòa Cẩm - Intimex,HNX,Vật liệu xây dựng
93,HCT,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải xi măng Hải Phòng,HNX,Dịch vụ vận tải
94,HDA,Công ty Cổ phần Hãng sơn Đông Á,HNX,Vật liệu xây dựng
95,HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,HNX,Hoạt động xuất bản
96,HGM,Công ty Cổ phần Cơ khí và Khoáng sản Hà Giang ,HNX,Khai khoáng nói chung
97,HHC,Công ty Cổ phần Bánh kẹo Hải Hà,HNX,Sản xuất thực phẩm
98,HHG,Công ty Cổ phần Hoàng Hà ,HNX,Dịch vụ vận tải
99,HJS,Công ty Cổ phần Thủy điện Nậm Mu ,HNX,Điện
100,HKT,Công ty cổ phần Đầu tư EGO Việt Nam,HNX,Sản xuất thực phẩm
101,HLC,Công ty Cổ phần Than Hà Lầm - Vinacomin,HNX,Than đá
102,HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,HNX,Xây dựng công trình
103,HMH,Công ty Cổ phần Hải Minh ,HNX,Dịch vụ vận tải
104,HOM,Công ty Cổ phần Xi măng Vicem Hoàng Mai,HNX,Vật liệu xây dựng
105,HPM,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc,HNX,Vật liệu xây dựng
106,HTC,Công ty Cổ phần Thương mại Hóc Môn ,HNX,Cửa hàng chuyên dụng
107,HTP,Công ty Cổ phần In sách Giáo Khoa Hòa Phát,HNX,Hoạt động xuất bản
108,HUT,Công ty Cổ phần TASCO ,HNX,Xây dựng công trình
109,HVT,Công ty Cổ phần Hóa chất Việt Trì,HNX,Hóa chất đặc biệt
110,ICG,Công ty Cổ phần Xây dựng sông Hồng ,HNX,Xây dựng công trình
111,IDC,Tổng Công ty IDICO - CTCP,HNX,Đầu tư và phát triển bất động sản
112,IDJ,Công ty cổ phần Đầu tư IDJ Việt Nam,HNX,Đầu tư và phát triển bất động sản
113,IDV,Công ty Cổ phần Phát triển hạ tầng Vĩnh Phúc,HNX,Đầu tư và phát triển bất động sản
114,INC,Công ty Cổ phần Tư vấn Đầu tư IDICO,HNX,Dịch vụ hỗ trợ kinh doanh
115,INN,Công ty Cổ phần Bao bì và In nông nghiệp ,HNX,Hoạt động xuất bản
116,IPA,Công ty Cổ phần Tập đoàn đầu tư I.P.A,HNX,Tài chính chuyên biệt
117,ITQ,Công ty Cổ phần Tập đoàn Thiên Quang,HNX,Thép
118,IVS,Công ty Cổ phần Chứng khoán Đầu tư Việt Nam,HNX,Dịch vụ đầu tư
119,KDM,CÔNG TY CỔ PHẦN TỔNG CÔNG TY PHÁT TRIỂN KHU ĐÔ THỊ DÂN CƯ MỚI,HNX,Vật liệu xây dựng
120,KHS,Công ty Cổ phần Kiên Hùng,HNX,Nông sản và thủy hải sản
121,KKC,Công ty Cổ phần Kim Khí KKC,HNX,Thép
122,KLF,Công ty cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS,HNX,Dịch vụ vui chơi giải trí
123,KMT,Công ty Cổ phần Kim khí Miền Trung ,HNX,Thép
124,KSD,Công ty cổ phần Đầu tư DNA,HNX,"Đồ may mặc, trang sức, phụ kiện"
125,KSF,Công ty cổ phần Tập đoàn KSFINANCE,HNX,Dịch vụ bất động sản
126,KSQ,Công ty cổ phần CNC Capital Việt Nam,HNX,Khai khoáng nói chung
127,KST,Công ty Cổ phần KASATI,HNX,Thiết bị viễn thông
128,KTS,Công ty Cổ phần Đường Kon Tum ,HNX,Sản xuất thực phẩm
129,KTT,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ KTT,HNX,Thiết bị điện
130,KVC,Công ty Cổ phần sản xuất xuất nhập khẩu INOX Kim vĩ,HNX,Kim loại màu
131,L14,Công ty Cổ phần Licogi 14,HNX,Xây dựng công trình
132,L18,Công ty Cổ phần Đầu tư và Xây dựng số 18,HNX,Xây dựng công trình
133,L35,Công ty Cổ phần Cơ khí lắp máy LILAMA,HNX,Xây dựng công trình
134,L40,Công ty Cổ phần Đầu tư và Xây dựng 40 ,HNX,Vật liệu xây dựng
135,L43,Công ty Cổ phần Lilama 45.3,HNX,Xây dựng công trình
136,L61,Công ty Cổ phần LILAMA 69-1,HNX,Xây dựng công trình
137,L62,Công ty Cổ phần Lilama 69-2,HNX,Xây dựng công trình
138,LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,HNX,Hóa chất đặc biệt
139,LBE,Công ty Cổ phần Sách và Thiết bị trường học Long An,HNX,Hoạt động xuất bản
140,LCD,Công ty cổ phần Lắp máy - Thí nghiệm cơ điện,HNX,Thiết bị điện
141,LCS,Công ty Cổ phần Licogi 166 ,HNX,Vật liệu xây dựng
142,LDP,Công ty Cổ phần Dược Lâm Đồng - Ladophar,HNX,Dược phẩm
143,LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,HNX,Xây dựng công trình
144,LIG,Công ty Cổ phần Licogi 13,HNX,Xây dựng công trình
145,LM7,Công ty Cổ phần Lilama 7 ,HNX,Xây dựng công trình
146,LUT,Công ty Cổ phần Đầu tư xây dựng Lương Tài,HNX,Xây dựng công trình
147,MAC,Công ty Cổ phần Cung ứng và Dịch vụ kỹ thuật hàng hải ,HNX,Xe tải và phương tiện vận chuyển thương mại
148,MAS,Công ty Cổ phần Dịch vụ hàng không sân bay Đà Nẵng ,HNX,Dịch vụ vận tải
149,MBG,Công ty Cổ phần Tập đoàn MBG,HNX,Xây dựng công trình
150,MBS,Công ty Cổ phần chứng khoán MB,HNX,Dịch vụ đầu tư
151,MCC,Công ty Cổ phần Gạch ngói cao cấp,HNX,Vật liệu xây dựng
152,MCF,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm (Mecofood),HNX,Sản xuất thực phẩm
153,MCO,Công ty Cổ phần MCO Việt Nam,HNX,Xây dựng công trình
154,MDC,Công ty Cổ phần Than Mông Dương - Vinacomin,HNX,Than đá
155,MED,CÔNG TY CỔ PHẦN DƯỢC TRUNG ƯƠNG MEDIPLANTEX,HNX,Dược phẩm
156,MEL,Công ty Cổ phần Thép Mê Lin,HNX,Thép
157,MHL,Công ty Cổ phần Minh Hữu Liên,HNX,Các sản phẩm gia dụng lâu bền
158,MIM,Công ty Cổ phần Khoáng sản và Cơ khí,HNX,Khai khoáng nói chung
159,MKV,Công ty Cổ phần Dược thú y Cai Lậy ,HNX,Dược phẩm
160,MST,Công ty cổ phần đầu tư MST,HNX,Xây dựng công trình
161,MVB,Tổng công ty Công nghiệp mỏ Việt Bắc TKV_CTCP,HNX,Khai khoáng nói chung
162,NAG,Công ty Cổ phần Tập đoàn Nagakawa,HNX,Đồ điện tử
163,NAP,Công ty Cổ phần Cảng Nghệ Tĩnh,HNX,Vận tải biển
164,NBC,Công ty Cổ phần Than Núi Béo - Vinacomin ,HNX,Than đá
165,NBP,Công ty Cổ phần Nhiệt điện Ninh Bình,HNX,Điện
166,NBW,Công ty Cổ phần Cấp nước Nhà Bè,HNX,Nước
167,NDN,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,HNX,Đầu tư và phát triển bất động sản
168,NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,HNX,Xây dựng công trình
169,NET,Công ty Cổ phần Bột giặt Net,HNX,Sản phẩm gia dụng không lâu bền
