index,symbol,companyName,floor,industryName
591,PWS,Công ty Cổ phần Cấp thoát nước Phú Yên,UPCOM,Nước
592,PX1,Công ty Cổ phần xi măng Dầu khí Nghệ An,UPCOM,Vật liệu xây dựng
593,PXA,Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,UPCOM,Vật liệu xây dựng
594,PXC,Công ty cổ phần Phát triển Đô thị Dầu khí,UPCOM,Xây dựng công trình
595,PXL,Công ty cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,UPCOM,Đầu tư và phát triển bất động sản
596,PXM,Công ty Cổ phần Xây lắp Dầu khí miền Trung ,UPCOM,Xây dựng công trình
597,PXT,Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí,UPCOM,Xây dựng công trình
598,PYU,Công ty cổ phần Môi trường và Công trình đô thị Phúc Yên,UPCOM,Dịch vụ xử lý phế liệu phế thải
599,QCC,Công ty Cổ phần Đầu tư xây dựng và phát triển hạ tầng viễn thông,UPCOM,Xây dựng công trình
600,QHW,Công ty Cổ phần nước khoáng Quảng Ninh,UPCOM,Nước ngọt
601,QLD,Công ty cổ phần Quản lý và Xây dựng Giao thông Lạng Sơn,UPCOM,Xây dựng công trình
602,QLT,Công ty cổ phần Quản lý Bảo trì Đường thủy nội địa số 10,UPCOM,Vận tải biển
603,QNC,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,UPCOM,Vật liệu xây dựng
604,QNS,Công Ty Cổ Phần Đường Quảng Ngãi,UPCOM,Sản xuất thực phẩm
605,QNT,CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ PHÁT TRIỂN QUẢNG NAM,UPCOM,"Xây dựng, chế tạo nhà ở"
606,QNU,Công ty cổ phần Môi trường Đô thị Quảng Nam,UPCOM,Dịch vụ xử lý phế liệu phế thải
607,QNW,Công ty cổ phần Cấp thoát nước và Xây dựng Quảng Ngãi,UPCOM,Nước
608,QPH,Công ty Cổ phần thủy điện Quế Phong,UPCOM,Điện
609,QSP,Công ty Cổ phần Tân Cảng Quy Nhơn,UPCOM,Dịch vụ vận tải
610,QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,UPCOM,Điện
611,RAT,Công ty Cổ phần Vận tải và Thương mại Đường Sắt,UPCOM,Đường sắt
612,RBC,Công ty cổ phần Công nghiệp và Xuất nhập khẩu Cao su,UPCOM,"Đồ đạc, nội thất"
613,RCC,Công ty cổ phần Tổng Công ty Công trình Đường sắt,UPCOM,Xây dựng công trình
614,RCD,Công ty Cổ phần xây dựng - địa ốc cao su ,UPCOM,Xây dựng công trình
615,RGC,Công ty Cổ phần Đầu tư PV-Inconess,UPCOM,Dịch vụ vui chơi giải trí
616,RTB,Công ty cổ phần Cao su Tân Biên,UPCOM,Hóa chất cơ bản
617,S12,Công ty Cổ phần Sông Đà 12 ,UPCOM,Xây dựng công trình
618,S27,Công ty Cổ phần Sông Đà 27 ,UPCOM,Xây dựng công trình
619,S72,Công ty cổ phần Sông Đà 7.02,UPCOM,Xây dựng công trình
620,S74,Công ty Cổ phần Sông Đà 7.04,UPCOM,Xây dựng công trình
621,S96,Công ty Cổ phần Sông Đà 9.06,UPCOM,Xây dựng công trình
622,SAC,Công ty cổ phần Xếp dỡ và Dịch vụ Cảng Sài Gòn,UPCOM,Dịch vụ giao nhận
623,SAL,Công ty cổ phần Trục vớt cứu hộ Việt Nam,UPCOM,Vận tải biển
624,SAP,Công ty Cổ phần In sách giáo khoa TP Hồ Chí Minh ,UPCOM,Hoạt động xuất bản
625,SAS,Công ty Dịch vụ Hàng không sân bay Tân Sơn Nhất,UPCOM,Dịch vụ vận tải
626,SB1,Công ty cổ phần bia Sài Gòn - Nghệ Tĩnh,UPCOM,Sản xuất bia
627,SBD,Công ty cổ phần Công nghệ Sao Bắc Đẩu,UPCOM,Dịch vụ máy tính
628,SBH,Công ty Cổ phần Thủy điện Sông Ba Hạ,UPCOM,Điện
629,SBL,Công ty cổ phần Bia Sài Gòn - Bạc Liêu,UPCOM,Sản xuất bia
630,SBM,Công ty cổ phần Đầu tư Phát triển Bắc Minh,UPCOM,Điện
631,SBR,Công ty cổ phần Cao su Sông Bé,UPCOM,Hóa chất cơ bản
632,SBS,Công ty Cổ phần Chứng khoán Ngân hàng Sài Gòn Thương tín ,UPCOM,Dịch vụ đầu tư
633,SCA,CÔNG TY CỔ PHẦN NÔNG NGHIỆP SÔNG CON,UPCOM,Nông sản và thủy hải sản
634,SCC,Công ty Cổ phần Thương mại Đầu tư SHB,UPCOM,Vật liệu xây dựng
635,SCJ,Công ty Cổ phần Xi măng Sài Sơn,UPCOM,Vật liệu xây dựng
636,SCL,Công ty Cổ phần Sông Đà Cao Cường,UPCOM,Vật liệu xây dựng
637,SCO,Công ty Cổ phần Công nghiệp Thủy sản,UPCOM,Dịch vụ giao nhận
638,SCV,Công ty TNHH MTV Muối Việt Nam,UPCOM,Sản xuất thực phẩm
639,SCY,Công ty Cổ phần Đóng tàu Sông Cấm,UPCOM,Xây dựng công trình
640,SD1,Công ty Cổ phần Sông Đà 1,UPCOM,Vật liệu xây dựng
641,SD3,Công ty Cổ phần Sông Đà 3,UPCOM,Xây dựng công trình
642,SD7,Công ty Cổ phần Sông Đà 7,UPCOM,Xây dựng công trình
643,SD8,Công ty Cổ phần Sông Đà 8,UPCOM,Xây dựng công trình
644,SDB,Công ty Cổ phần Sông Đà 207,UPCOM,Xây dựng công trình
645,SDD,Công ty Cổ phần Đầu tư và Xây lắp Sông Đà,UPCOM,Xây dựng công trình
646,SDH,Công ty Cổ phần Xây dựng hạ tầng sông Đà ,UPCOM,Xây dựng công trình
647,SDJ,Công ty Cổ phần Sông Đà 25 ,UPCOM,Xây dựng công trình
648,SDK,Công ty Cổ phần Cơ khí Luyện kim ,UPCOM,Xây dựng công trình
649,SDP,Công ty cổ phần SDP,UPCOM,Vật liệu xây dựng
650,SDV,Công ty Cổ phần Dịch vụ Sonadezi ,UPCOM,Dịch vụ tiêu dùng chuyên dụng
651,SDX,Công ty Cổ phần phòng cháy chữa cháy và đầu tư xây dựng Sông Đà,UPCOM,Vật liệu xây dựng
652,SDY,Công ty Cổ phần Xi măng Elecem,UPCOM,Vật liệu xây dựng
653,SEA,Tổng Công ty Thủy sản Việt Nam – Công ty cổ phần,UPCOM,Nông sản và thủy hải sản
654,SEP,Công ty Cổ phần Tổng Công ty Thương mại Quảng Trị,UPCOM,Nông sản và thủy hải sản
655,SGB,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN CÔNG THƯƠNG,UPCOM,Ngân hàng
656,SGI,Công ty cổ phần Đầu tư Phát triển Sài Gòn 3 Group,UPCOM,Dịch vụ tiện ích tổng hợp
657,SGO,Công ty Cổ phần Dầu thực vật Sài Gòn,UPCOM,Sản xuất thực phẩm
658,SGP,Công ty Cổ phần Cảng Sài Gòn,UPCOM,Dịch vụ vận tải
659,SGS,Công ty Cổ phần vận tải biển Sài Gòn,UPCOM,Dịch vụ vận tải
660,SHC,Công ty Cổ phần Hàng hải Sài Gòn,UPCOM,Vận tải biển
661,SHG,Tổng Công ty Cổ phần Sông Hồng,UPCOM,Xây dựng công trình
662,SHX,Công ty cổ phần Sài Gòn Hỏa xa,UPCOM,Thuốc lá
663,SID,Công ty Cổ phần Đầu tư Phát triển Sài Gòn CO.OP,UPCOM,Dịch vụ bất động sản
664,SIG,Công ty Cổ phần Đầu tư và Thương mại Sông Đà,UPCOM,Dịch vụ vận tải
665,SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,UPCOM,Đầu tư và phát triển bất động sản
666,SIV,Công ty Cổ phần SIVICO,UPCOM,Hóa chất đặc biệt
667,SJC,Công ty Cổ phần Sông Đà 1.01,UPCOM,Xây dựng công trình
668,SJG,Tổng Công ty Sông Đà - CTCP,UPCOM,Xây dựng công trình
669,SJM,Công ty Cổ phần Sông Đà 19 ,UPCOM,Xây dựng công trình
670,SKH,Công ty Cổ phần Nước giải khát Sanest Khánh Hòa,UPCOM,Nước ngọt
671,SKN,Công ty cổ phần Nước giải khát Sanna Khánh Hòa,UPCOM,Nước ngọt
672,SKV,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,UPCOM,Nước ngọt
673,SNC,Công ty Cổ phần Xuất nhập khẩu Thủy sản Năm Căn,UPCOM,Sản xuất thực phẩm
674,SNZ,Tổng Công ty Cổ phần Phát triển khu Công Nghiệp,UPCOM,Đầu tư và phát triển bất động sản
675,SON,Công ty cổ phần Cung ứng Nhân lực Quốc tế và Thương mại,UPCOM,Dịch vụ cung ứng lao động và đào tạo
676,SP2,Công ty cổ phần Thủy điện Sử Pán 2,UPCOM,Điện
677,SPA,Công ty cổ phần Bao bì Sài Gòn,UPCOM,Bao bì & đóng gói
